,Score,Text
51,2,if awakens was about the resistance and the first order repeating the cycle of the rebellion and the empire this one is all about how they have to become their own things and what the proper way to get there is going to be and thats exciting
52,5,the last jedi breathes urgent purpose into the new trilogy purpose it had yet to prove
53,4,more than merely a continuation the last jedi is in many ways an ending to the star wars weve known and like many endings its anarchic and frustrating and poignant
54,5,whatever the future holds for star wars the last jedi will leave a lasting mark on this legendary series with numerous moments that are shocking and powerful with just enough humor to cut the tension
55,5,its safe to say the last jedi is one of the best star wars movies ever made its right up there with empire strikes back
56,5,grabs the audience from the very first scene and doesnt let up guiding viewers on a thrill ride that will have audiences gasping laughing and perhaps even shedding a tear
57,5,big bold and beautiful its hard to describe rian johnsons achievements here any other way
58,4,rian johnsons star wars the last jedi manages to be both brilliant and terrible at the same time a mix of classic mythos and insipid story telling
59,5,in every aspect conceivable the film no longer operates between two realms and the result is the most gratifying big-screen star wars experience thus far
60,4,i can only wonder what the last jedi might have been with finn and poe taking a backseat because there is a great film within whats ultimately a good one
61,4,star wars the last jedi works its macro and micro stories entertain either if youre predisposed to like what it has to offer or at least not actively resistant to it
62,4,whereas the first half is a sort of a convoluted mess the last jedi becomes a dark and exciting sequel that becomes the film youve been looking for by the 75-minute mark
63,4,the success of the last jedi like its father before it will most likely rest on the conclusion of the trilogy
64,5,its the one weve been waiting for
65,3,its a two-and-a-half hour movie it needs to be good in its own right not just setting up for the next episode a two-and-a-half hour $200 million set up
66,3,if youre a fan youre going to appreciate the story continuing on and on if youre into makeup and cgi youll appreciate every minute of it
67,5,johnson takes the narrative through its paces weaving a complicated and fascinating story just when you think one thing is going to happen the story shifts
68,4,with deep reverence for what has come before disney has proven that they arent afraid to move the story forward
69,5,the best star wars film since the original trilogy
70,3,star wars is not breaking bad and the same narrative tricks that worked for the latter feel jarringly out of place in the former
71,4,the last jedi speaks for the strength of a united front against imperial aggressionthe final image leaves us with the assurance that young people tired of injustice will pick up the ball their elders dropped
72,3,despite disneys humorous sequences the last jedi revives the good in the saga full review in spanish
73,4,the highs definitely outweigh the lows and the last jedi is in the upper tier of films set in that far far away galaxy
74,4,its a force to be reckoned with
75,3,there is just enough good material embedded in the excessive padding to appeal to our cravings for more star wars
76,4,i both loved it and strongly disliked it at the same time i feel like theres a really great movie in there all the pieces are there everything is brilliant but then theres a lot of extra fat that needed to be trimmed off or rearranged
77,4,the story is compelling and there are some good characters to follow on this journey through many twists and turns the acting is solid and the visual effects are top notch this is an impressive effort by writer-director rian johnson looper
78,5,a red throne room evokes the technicolor fantasies of michael powell and vincente minnelli while the scratchy surfaces of a sand planet trace the arc of each combatants footwork like a choreographers notation transforming a duel into a dance
79,3,there is simply no joy in the last jedi but all great legacies i guess are destined to fade
80,4,same effects new cast some should stay and some should go
81,4,a stellar if slightly overlong followup to 2015s star wars episode vii the force awakens
82,4,daisy ridley is always in motion her role of a young warrior is intense but her moments with adam driver comparing good and evil are good indeed
83,5,jedi offers a rather bold reinvention and expansion of what the star wars universe is capable of
84,4,thats when the film offers moments that go from euphoria to sadness from fear to uncertainty and from incredulity to the unexpected moments that will surely be established as some of the best in the entire franchise full review in spanish
85,5,the last jedi has been favourably compared to the empire strikes back and while theres some truth to that theyre very different films yes its dark but its the moments of light that youll remember
86,2,writer-director rian johnson repeatedly shows an inability to build to moments his screenplays biggest beats come off as self-defeating and lifeless
87,4,whats most interesting to me about the last jedi is lukes return as the mentor rather than the student grappling with his failure in this new role and later aspiring to be the wise and patient teacher
88,5,with a script by director johnson the last jedi is a mash-up of many different stories but all with the same main plot line good versus evil
89,3,where abrams left us eager for more johnson leaves us sated and willing to wait a couple of years for the next episode still theres plenty of fun to be had and the series faithful wont be disappointed
90,5,it is the best and most innovative star wars film to come along in a long time and you would think that this would inspire celebration in the streets among longtime fans of the franchise
91,5,the last jedi is not a crude predictable entry to the series rian johnson has delivered a luminous spark thats left the future of the franchise looking bright
92,5, the director manages to raise a moving monument to something as brilliant and even corny as the possibility of a shared dream full review in spanish
93,3,luke skywalker rules all in this movie but theres a lot of stuff that doesnt work
94,3,although not worse than the prequels for me the last jedi is its own special kind of meh that demonstrates disney doesnt have the guts to do this franchise any justice
95,2,over-funded bloated self-important and virtually immobile the last jedi bears more than a passing resemblance to jabba the hutt
96,2,this movie feels like a tie fighter on the fritz spinning in circles as it fires off one light-show after another
97,5,here mark hamill turns in his best performance giving the character a depth and complexity that wasnt as evident in the original trilogy
98,4,the most interesting people are no longer related to darth vader
99,5,theres a sense of closure which makes the last jedi an incredibly cathartic experience
100,4,its nice that the rebellion is no longer defined by suicide attacks and the force no longer a matter of hereditary title
101,3,more good things and fewer bad things happen in this movie than in any of the three prequels but the film is hellbent on presenting its good things in the worst possible light
102,5,upends expectations demythologizes the mythos and takes an iconic series in a bold new direction with a story full of humor courage and dazzling imagery
103,4,the last jedi moves in an interesting range of grays sacrificing part of the ingenuity and regal values of yesteryear for the despair and bitterness of the times full review in spanish
104,4,an excellent balance is created between telling us a new and interesting storyand having good action scenes full review in spanish
105,4,the force is strong with rian johnson who delivers de most exciting risky adult and entertaining star wars movie since well you know which one full review in spanish
106,5,a thing of beauty and work of art about which the loudest grumblers likely expected the most conventional developments lost in reddit rabbit holes and clickbait in which creatives graciously fielded insistent questions about parents or provenances
107,5,each of these characters finds a surprising connection to others derailing plans and sending each person on an unexpected journey the way johnson orchestrates all of this is remarkable because its both coherent and compelling
108,4,the last jedi is a grand step forward one that we can only hope will light the way for the franchises future
109,5,with star wars the last jedi writer-director rian johnson takes the star wars saga into uncharted territory with exciting results
110,3,its scattered pacing and tangled subplots doesnt make the last jedi a failure but neither is it a celebration or more importantly an elevation of anything other than the legacies of the late carrie fisher and justly revered mark hamill
111,3,in the last jedi movie magic has been replaced by hocus pocus or perhaps even mumbo jumbo  never has the eastern-western pop psychology of the franchise rung so hollow
112,4,the last jedi is good in parts very good but not as good as the force awakens its too long but not tedious its often funny and full of action
113,4,from the seemingly infinite number of universes in which the last jedi was a bad film or even just an ok one johnson has found his way to the one universe in which it is a good occasionally first-rate one
114,4,for those of us who were there at the start theres one thing that makes the last jedi unmissable carrie fisher go and see it for her
115,4,this chapter relies so much on its call-backs and references that it all feels a little bit too safe but still a damn fine movie pushing the story forward in style
116,3,the last jedi should be the last jedi my interest died along with hans solo who took with him that cowboys in space humor that made the franchise so special
117,4,as the third act approaches the crescendo of air-punching interludes accelerates eliciting gasps cheers and omg whoops from an audience whom johnson treats with respect affection and evident admiration
118,5,rian johnson has delivered arguably the best star wars ever or at least certainly the most fun
119,5,with the last jedi theres a welcome return of hope for the sequel trilogy
120,4,not the best entry in the star wars franchise but parts of it rank at the very top
121,5,johnson infuses the proceedings with the same sense of wisecracking fun that made the original now known as episode iv a new hope so irresistible while also ambitiously expanding on the mythos
122,5,events fans dreamed of happening unfold differently than imagined and that bit of reality highlights whats really going on here star wars is pushing out of its comfort zone
123,5,rian johnsons spectacular expansion of george lucas galactic adventure franchise is everything you want it to be and more what a great holiday gift for moviegoers may the force be with you
124,5,at a point where the ever-extendable star wars franchise looked at risk of relying too much on its own legacy and table of cliches along comes the last jedi to push the saga into fresh delightfully dangerous new territory
125,4,its nostalgia works well mark hamill returns as luke skywalker and the late carrie fisher is again in her signature role of leia organa
126,5,the last jedi brings to the audience something much more complicated for a movie to cause than tears chills full review in portuguese
127,4,while the last jedi may not receive top marks for originality the eighth official entry in the star wars saga is still one of the most entertaining blockbusters of the year
128,5,star wars the last jedi successfully combines the thrill-a-minute fun thats always been part of the saga with a fresh spin on the lightdark theme embedded into the epic tales dna
129,4,with every super-spoilable turn the last jedi anticipates backlash and asks longtime devotees to look inward
130,4,star wars the last jedi is a spirited continuation sometimes spectacular often humorous of the never-ending space saga
131,3,with the last jedi rian johnsons done to the star wars franchise what joss whedon had done for marvel with the avengers disney and lucasfilm have another solid franchise base in the offing now
132,5,hope for generational change the power of any single small nameless dreamer who may yet know a world not manipulated by gunrunners moneychangers the venal and power-mad forces against the force the sky is filled with more stars than we know
133,4,fanatics will love it for the rest of us its a tolerably good time
134,4,with deft direction by johnson and his script that has its ominous and mythical moments but never quite feels over-the-top or silly this features strong work from hamill ridley driver and boyega
135,4,even if real fanboys are not pleased with some of the revelations and perhaps not all should be believed the major impact of the force will go a long way in keeping everyone relatively happy
136,2,the devoted will no doubt be delighted for the rest a resigned acceptance may be the safest path to enjoyment
137,5,arguably the most beautifully directed film of the series so far about as good as it gets for four-quadrant tent-pole film-making wonderful
138,5,the last jedi is awe-inspiring and poignant expect to be riveted despite its runtime of two-and-a-half hours
139,4,its all watchable to those of us in the skeptics tribe i tacked on an extra half star to the star rating for this solely because of my outsized affection for a glorious section in the middle that i enjoyed as i have few other star wars side journeys
140,4,sci-fi violence strong female characters in thrilling epic
141,3,rian johnsons miscue has posed a disquieting question are these filmmakers authors or fans
142,4,star wars the last jedi is a muddled movie that has some incredibly high points and beautiful scenes but also contains a lot of distracting filler
143,4,its a rian johnson film through and through which is why it feels like a breath of fresh air full review in spanish
144,4,the film is a relentless crowd-pleaser that has as much in common with a pedigreed art film as it does a traditional action blowout
145,4,the characters like the movie take what they need from the past leave the rest behind and forge ahead into unexpected and exciting new terrain
146,4,star wars the last jedi is a visual spectacle that expands our understanding of the force and how it shapes a galaxy far far away adding to the mythology and lore of this franchise
147,4,just like the empire strikes back set the benchmark for the orig trij the last jedi does the same for the sequel trilogy
148,3,johnson like george lucas before him has an eye for capturing epic moments that simultaneously feel effortless and throwaway
149,4,in short it is a dynamic action-packed addition to the 40-year-old series that no self-respecting fan will want to miss
150,3,remixing the structure of the originals with the aesthetics of the prequels
151,5,rian johnsons film is the real deal a bold risky venture unafraid to tell its own story freed from the weight of nostalgia and formula
152,5,a profound spiritual experience
153,4,the last jedi represents a triumph for the series and will make you forget jar jar binks ever existed
154,4,johnson ends the film with the rebel forces on the defensive and with their resources mostly spent yet he offers a sliver of hope theres that word again as he assures us when the screen fades to dark that brighter days are ahead
155,5,demonstrates an understanding of the star wars universe and its appeal while also taking it into wonderful new directions
156,4,but the biggest thing this eighth chapter does is change where things go next in a fundamental way
157,4,by being easily the most unconventional film in the octet the last jedi underscores exactly what star wars was always about hope we need it now more than ever
158,5,writer and director rian johnson will surprise you with new story possibilities new emotions new visuals to feast your eyes on
159,4, plenty of twists turns and pleasant surprises to hold an audience rapt over the two-and-a-half-hour running time
160,5,the last jedi is the best star wars film since 1980s the empire strikes back because its so much more than stars and wars its those stories joys and pains of the heroes villains and nobodies who lived it
161,5,in practically every frame writer-director rian johnson conveys how much fun it is to do this stuff
162,4,johnson clearly knows the material well enough to give us exactly what we expect and he loves it enough to take it into new territory
163,3,moving on from previous glories to start anew furnishes greater moments for the characters than the story but it adds to a movie thats thoughtful emotional and contemplative
164,4,there is a thrilling space opera somewhere in star wars the last jedi if only it could rise above the echoes of its original mythology
165,4,epic fun visually sumptuous it will tug at your heart strings because we come to know the characters across several episodes and we root for them when we recognise our own emotional responses in theirs
166,4,certainly jj abrams 2015 star wars the force awakens was more than satisfying but johnson steps it up several notches digging deeper into characters and even adding nuance to the star wars mythos
167,4,even with the warts star wars the last jedi feels like a big dazzling holiday present most star wars fans should be able to tear into and enjoy
168,3,the last jedi is a sample of what disney intends to do with this franchise turning it into a product full of cliches empty plots forgettable villains and one-dimensional characters full review in spanish
169,4,in a world bursting with flashy popcorn movies theres still nothing quite like a star wars flick
170,3,sporadically thrilling but overlong exhausting tonally uneven and often dull
171,5,johnson works in the somewhat limited palette that is star wars but this middle chapter in the new trilogy also starts to break out in ways that should excite fans at the prospect of whats to come
172,5,the forceful star wars the last jedi is a cinematic triumph
173,4,but these are minor quibbles compared to the depth wonder and sense of heroism that the last jedi brings back
174,3,in the end the last jedi delivers everything you would want from a star wars movie something thats become both a blessing and a curse
175,4,there are twists you wont see coming and just when you think youve figured everything out rian johnson pulls a rabbit out of his hat
176,4,star wars the last jedi could very well be the definite evolution of the series yet
177,4,has fresh story beats and new ideas  yet as the complicated messy plot unfolds the lack of a larger vision in this new trilogy becomes more glaring
178,4,rian johnsons middle chapter in the current star wars trilogy is the epic youve been looking for capped by mark hamill in the performance of his career it points the way ahead to a next generation of skywalkers and thrillingly to a new hope
179,4,the true star is mark hamill giving the performance of his career as the anguished isolated tortured former jedi master his scenes are worth the ticket price alone
180,4,the dialogue is peppered with droll admissions and star wars-savvy sarcasm which helps to prick the heroic sweep so common to these trilogies
181,4,where jj abrams sought to give this new trilogy a firm but predictable foundation to build upon rian johnsons the last jedi is a risk-taker this is to be applauded absolutely
182,4,unjustifiably long and with misplaced humour throughout the last jedi nonetheless delivers some scintillating action spine-tingling lore and a loving farewell to fisher
183,5,goes in bold new directions while delivering familiarity written and directed with thoughtfulness and visual flair
184,5,movies should be better than those we could imagine up on our own rian johnson knows what we want to see and shows it to us in ways we couldnt have envisioned without him
185,5,the last jedi deserves nothing but acclaim and johnson an incredibly adept director deserves to be handed as many future star wars films as he can manage
186,5,lucas hit the jackpot
187,4,a reboot of empire strikes back star wars the last jedi is overlong heavy-handed and fun if mostly uninspired
188,4,older characters pass the baton to a new female-centric generation led by the outstanding daisy ridley the new face now a confident actress with great screen charisma
189,5,rian johnson has made a star wars movie that features so many great additions to canon and mythological intrigue that will have fans buzzing for years
190,5,the perfectly paced new entry to our galaxy far far away features so many new star wars moments to lovea journey full of classic hallmarks and new additions that maintains a balance of lighthearted fun intense action and deep emotion
191,4,the last jedi is everything a star wars film should be and so much more johnson weaves an emotionally rewarding tale while balancing all the essential sci-fi action expected
192,4,star wars fans old and new are guaranteed to have an absolute blast
193,4,the last jedi suffers from occasional inconsistencies in character and plot but these quibbles are easily absorbed into the impressively vast and colorful canvas that johnson paints with such passion and empathy
194,5,thankfully the last jedi wont be the last jedi movie but it should be your next
195,4,fisher would be proud of episode viii an injection of freshness into a series always only one movie away from staidness  such is the scrutiny of something as loaded as star wars
196,3,the force is still strong with this one it just takes the occasional wobble
197,3,for all the complexity of the sub-plots the storyline is reassuringly familiar
198,4,big space battles are one thing but there are smaller action setpieces here that can only be described as beautiful
199,4,carrie fisher in her final star wars performance is the heart and soul of the film stealing scenes with ease and on more than one occasion bringing lumps to the throat
200,4,theres a refreshing gender balance among the key characters laura derns vice admiral holdo may be dressed more for the opera but dont be fooled kids
201,4,bottom line star wars the last jedi may not be the best installment in the now 40-year-old franchise but it packs enough action and surprises to keep fans happy through the christmas season and beyond
202,4,its full of moments both thrilling and poignant with anticipated reunions and goodbyes and pulse-pounding action
203,3,entertains as comfort food in filmic form but this is an altogether slighter experience than the spectacular one the force awakens provided this is a fine film in spite of its many issues easily recommendable to fans
204,4,the last act overcomes a sluggish middle and is as thrilling as this franchise ever gets
205,4,its a compelling feature for the most part but its too obsessed with surprises often sacrificing stability just to rattle fans
206,4,gorgeous cinematography solid performances &amp one of the best scenes in star wars history though it has issues incl unnecessary comedy that affects tone liked but didnt love
207,4,regardless of the jokes and explicit exposition there was enough real emotion to make me care given the absolute ridiculousness of what happens in this unapologetic space soap opera making me feel anything at all is an undeniable measure of success
208,3,a bit of a placeholder
209,4,the last jedi repeatedly goes against your every instinct takes your emotions for a roller coaster and takes the characters we know in directions that will blow your mind
210,5,directorscreenwriter rian johnson has truly delivered the galaxy goods on this event-the second installment of the sequel trilogy
211,3,johnson does his best work in the last jedi when he stops trying for narrative complexity and just stages some cool outer-space action
212,4,theres a sense that johnson is giving busy-work to certain characters while others are catching up the last jedi is a great 105-minute movie stretched too thin
213,4,on the whole this is a great step forward for the franchise its deeper its darker and it has porgs
214,5,nothing can prepare you for what star wars the last jedi delivers and thats exactly what makes so damn near perfect
215,4,rain johnson crafts an entertaining swashbuckling flick in the series eighth film it possesses the whimsy the heart and light sabers necessary for reverence in the star wars canon
216,4,while familiar this is a star wars film that isnt overly beholden to its past playing with the tropes themes and characters of its predecessors in a way that is both unsettling but necessary
217,5,star wars the last jedi launches the franchise to another level of action and humor thanks to incoming writer-director rian johnson whose imagination seems boundless as george lucas 40 years ago
218,5,you dont have to be a star wars fan to love this addition to the canon heck it works even if you havent seen any of the other movies
219,5,in short it feels like a new hope
220,4,johnson has delivered the goods a film that isnt afraid to be ambitious that delights and dazzles in equal measure while providing a worthwhile emotional investment it is a crowd-pleaser that will be wholeheartedly embraced by fans
221,3,it soars and sinks shrewdly building on franchise lore while scoring cheap shots against capitalism frustrating it is hmmm
222,4,as indebted to the previous installments and star wars canon as it is to classic westerns sword-and-sandal epics and martial arts films its the blend of reverence for its roots and embrace of the new that makes the last jedi a triumph
223,4,a stunning black white and red color pallette thrilling adventure appealing new characters worthy developments for old friends and a cause to root for
224,5,star wars fans your sky high expectations are rewarded rian johnson takes the fabled lore from a galaxy far away into uncharted territory he will have you spellbound
225,5,the last jedi is that very rare thing a brilliantly crafted intelligent blockbuster that will deserve every penny of its doubtless immense box-office returns
226,4,efficiently manufactured and enjoyable enough but overloaded with action and effects and sorely lacking the magic that marked the first movies in the franchise
227,4,the last jedi boasts many very good performances ones that enrich the characters and which salute writerdirector johnsons ability to find the humanity within technology something he proved early on with his artful time-travel thriller looper
228,5,a blockbuster with the beating heart of its creator worn proudly on its sleeve
229,4,a spectacular full-throttle joyride of thrills exhilarating screen-filling visuals emotional heft and humor with familiar characters and new faces well almost certainly be seeing again
230,3,the last jedi may not be a flawless film but continues to push the story forward the film has a lot going for it and rian johnson seems to understand exactly what star wars fans are looking for
231,5,star wars the last jedi builds upon star wars history for a more expansive high-stakes adventure with plenty of fresh and classic elements
232,5,without giving away any surprises there will be endearing reunions unexpected appearances and outcomes full review in spanish
233,3,the last jedi however opens up some new possibilities it doesnt provide a ton of satisfying answers but it creates some interesting questions and it manages to make star wars feel new again
234,4,perhaps like no film in the franchise yet the last jedi seriously considers the hubris that comes with certainty and how knots from the past that can keep you bound from moving forward
235,5,disney found a true star wars champion in johnson and im eager to see what he does when hes able to craft the next trilogy from scratch
236,3,the last jedi may not possess its immediate predecessors pleasant shock of the new nor is it a stylistic detour from whats expected but it makes up for this with wit spirit and one wicked saber smackdown
237,4,johnsonsoften-stirring addition to the saga finally lands on an affecting point about the importance of preserving essential cultural tradition without clinging too strictly to the dogma  and the texts  of the old way
238,4,fans can expect plenty of surprises and awe-inspiring visual wizardry
239,4,after this i never thought id say it im up for more bring on the next star wars
240,4,the first half of the movie works in fits and starts but johnson makes up for it in the second when the bundle of subplots intertwine tighter and the narrative rockets forward its action fleet of foot and tightly tied to its emotional highs
241,5,everything a fan could want from a star wars film and then some
242,5,rian johnsons passion ends up giving wings to these last jedi who although wounded and disenchanted resist stronger than ever full review in spanish
243,5,while there are elements nodding to the empire strikes back the last jedi is no copycat in its most daring moments it even tweaks a few series tropes updating them with a decidedly populist kick
244,4,rian johnsons main feat is being savvy enough to know that sometimes the best thing to do is cherishing the past before burning it to the ground
245,3,but gradually johnsons many additions become too much of a good thing and the last jedi grows crowded busy and long
246,4,last jedi is deep its also rollicking its right up there with the very first star wars in terms of its enjoyability factor its a triumph
247,4,when everything pulls in the same direction as it does consistently in the last jedi its like watching a mind-boggling clockwork click into a deft ballet
248,4,that said id stop short of calling director rian johnsons undeniably impressive initiation into the star wars fold the masterpiece that some desperately want it to be the film simply drags too much in the middle
249,4,you cannot kill the past what you can do is build on it to enable an intriguing future at the very least the last jedi does that
250,5,carrie fisher is luminous here every time shes on screen its impossible to look away and she is as tough loving and wily as we would ever want our leia to be
251,5,the emotional pay-offs are huge the visuals are stunning the performances are brilliant and even as it eagerly explores the darkness the last jedi never loses sight of its heart
252,4,the last jedi is the best directed most beautiful-looking star wars movie since the empire strikes back
253,4,it feels fresh exciting and playful without losing the operatic grandeur star wars thrives upon
254,4,if star wars the last jedi isnt a complete deconstruction of the original trilogy its at least an acknowledgement that these archetypical characters must evolve in order to survive
255,5,its not a perfect movie by any means some of the comedy is a little too silly and one or two of the plot threads feel a bit less important than the others but these quibbles were minor when compared to the parts that work those really work
256,5,the last jedi opens up with one of the best space fights the series has seen and it carries that quality throughout it has one of the best light saber fights one of the best endings and some of the most fun the series has seen
257,5,it provides top-drawer popcorn entertainment for the casual cinema goer while hardcore fans will love it for the respect it has for the franchise history and for what it promises for the future
258,5,this is a great star wars movie possibly the best its certainly more satisfying and easily the most emotional
259,4,this mid-section marker in the current trilogy simply doesnt disappoint realising the courage of its convictions with an intelligent story and a heart-swelling emotional resonance
260,4,the movie suffers a little from uneven pacing and occasionally lost my focus here and there but it is a worthy addition to the canon
261,5,an excellent middle chapter bursting with wit wisdom emotion shocks old-fashioned derring-do state-of-the-art tech and stonking set-pieces
262,3,for those hoping that there may have been a substantial uptick in quality between jj abramss the force awakens and rian johnsons the last jedi-in much the same way that the empire strikes back improved on star wars-you may need a new hope
263,4,when the feelings come in the last jedi and they do come theyre deep and theyre real go ahead and try to watch the penultimate scene without crying or pretending not to and may the force be with you
264,5,it took them 40 years but theyve finally done it the best star wars film of the series there thats it its that simple
265,5,the future of the galaxy has never been in safer hands
266,5,propped up by strong material every member of the star wars the last jedi cast delivers performances worthy of the iconic franchise but deserving special mention is mark hamill
267,4,it certainly captures the sense of awe and imagination of what we love best about that universe while its not entirely without faults it is entirely entertaining
268,5,star wars has been with us for four decades now telling that same essential story in a format thats overwhelming and engulfing with wit skill and love the last jedi takes up the torch and carries it for a new generation
269,4,by breaking down some of the old mythology rian johnson has staked out new territory for the first time in a long time a star wars film feels forward-moving
270,5,the last jedi works on several levels but most importantly its a rip-roaring good time thats what star wars fans want the most and thats what they get with this dynamite installment
271,4,sure the last jedi can occasionally be too goofy or free-roaming for its own good but its an impossible film to sit in front of and not have a good time
272,4,time and again rian johnson finds a cinematic grammar that feels new to star wars big close-ups tender touching hands top shots elegant camera tracks and pulling out in-world sound leaving just music and image
273,5,rian johnsons ability to deliver a fresh and engaging riff on this beast of an enterprise suggests that not every free-spirited storyteller can be corrupted by hollywoods dark side and some may even give it a new hope
274,5,the last jedi is the best star wars film since the empire strikes back and is awful close to being its equal
275,4,you dont see many sci-fi action extravaganzas that are about late middle-aged disappointment about wondering what its all about and whether any of it was worth it its this element that gives the last jedi an extra something 
276,5,a nuanced touching humorous adventure laced with thrilling space battles and some jaw-dropping visuals
277,4,the johnson and abrams movies live dutifully in the universe of the original george lucas trilogy after the phantom menace trilogy debacle its what fans claim they wanted
278,5,the last jedi mounts some genuinely startling narrative twists and feints while charting an onward course for the franchise that has you itching to discover what comes next
279,5,the last jedi unlike its predecessor has the freedom to be daring and perhaps the most thrilling thing about it-and there are many many thrilling things-is how abundantly it takes advantage of that freedom
280,4,i lost count of the jaw-dropping moments the last jedi presents and its a movie i cant wait to revisit
281,4,star wars the last jedi makes for an inventive nail-biter of a chapter in the franchises long run
282,4,a fresh visual style makes this middle star wars a welcome addition to the saga
283,4,every new star wars movie since disney bought lucasfilm has been heralded as the first worthy successor to the original trilogy but with the last jedi its finally true
284,4,i really enjoyed spunky relatable rose and i held my breath every time she raced into danger
